antone	:ant: :one:
antrum	:ant: :ru: :m:
anton	:ant: :on:
antitax	:ant: :it: :a: :x:
antbird	:ant: :bird:
antship	:ant: :ship:
rata	:rat: :a:
ratites	:rat: :it: :es:
ratoon	:rat: :o: :on:
ratfishes	:rat: :fish: :es:
rato	:rat: :o:
ratfish	:rat: :fish:
ratitous	:rat: :it: :o: :us:
rates	:rat: :es:
kokoon	:koko: :on:
kokoona	:koko: :on: :a:
charthouse	:chart: :house:
charta	:chart: :a:
eightvo	:eight: :v: :o:
dogship	:dog: :ship:
dogfish	:dog: :fish:
doghouse	:dog: :house:
dogear	:dog: :ear:
dogwatches	:dog: :watch: :es:
dogfishes	:dog: :fish: :es:
dogwatch	:dog: :watch:
doges	:dog: :es:
dogboat	:dog: :boat:
dogma	:dog: :m: :a:
dogman	:dog: :man:
snowmanship	:snowman: :ship:
bombous	:bomb: :o: :us:
bombshell	:bomb: :shell:
bombes	:bomb: :es:
bombo	:bomb: :o:
bombax	:bomb: :a: :x:
bombus	:bomb: :us:
radiode	:radio: :de:
radiophone	:radio: :phone:
radiomicrophone	:radio: :microphone:
radiocarbon	:radio: :car: :b: :on:
radiotelephone	:radio: :telephone:
radiov	:radio: :v:
radioman	:radio: :man:
radious	:radio: :us:
shoeman	:shoe: :man:
shoeboy	:shoe: :boy:
shoewoman	:shoe: :woman:
shoebird	:shoe: :bird:
chickenshit	:chicken: :shit:
cupidon	:cupid: :on:
cupidone	:cupid: :one:
mensa	:mens: :a:
menses	:mens: :es:
ricebird	:rice: :bird:
ricecar	:rice: :car:
sagittariuses	:sagittarius: :es:
bearship	:bear: :ship:
bearm	:bear: :m:
beartongue	:bear: :tongue:
bearcat	:bear: :cat:
gemman	:gem: :man:
gemma	:gem: :m: :a:
gemmoid	:gem: :m: :o: :id:
crybaby	:cry: :baby:
artaba	:art: :a: :b: :a:
artus	:art: :us:
seatang	:seat: :a: :ng:
hammerlock	:hammer: :lock:
hammerbird	:hammer: :bird:
hammerfish	:hammer: :fish:
hammerman	:hammer: :man:
hammerdress	:hammer: :dress:
hourglasses	:hourglass: :es:
hibiscuses	:hibiscus: :es:
postboxes	:postbox: :es:
tentacles	:tent: :a: :cl: :es:
joyant	:joy: :ant:
joyhouse	:joy: :house:
joyous	:joy: :o: :us:
aquariuses	:aquarius: :es:
guitarfishes	:guitar: :fish: :es:
guitarfish	:guitar: :fish:
coffeecake	:coffee: :cake:
coffeeman	:coffee: :man:
coffeehouse	:coffee: :house:
keyman	:key: :man:
keylock	:key: :lock:
keyseat	:key: :seat:
keypunches	:key: :punch: :es:
keypunch	:key: :punch:
keynotes	:key: :notes:
copart	:cop: :art:
copita	:cop: :it: :a:
copa	:cop: :a:
cophouse	:cop: :house:
copes	:cop: :es:
copesman	:cop: :es: :man:
copus	:cop: :us:
